age ht wt grmax
1 40 171 65 51
2 40 165.8 51.5 35
3 40 174.5 76.9 57
4 40 154.5 48.1 39
5 40 175.4 70.4 52
6 40 168.5 76.1 61
7 40 174.9 67 48
8 40 170.2 55.4 42
9 40 163.5 72.8 57
10 40 164.6 79 61
11 40 165.2 51 43
12 40 157 56.2 45
13 40 171.3 65.8 53
14 43 174.3 71.6 66
15 44 161.2 55.6 49
16 44 181.6 92.7 57
17 44 163.5 63 50
18 44 165.1 65.4 51
19 45 163.5 61.4 41
20 45 160.6 80.4 45
21 45 169.5 61 46
22 45 167.5 74.2 51
23 45 178.6 63 39
24 45 159.2 73.2 40
25 45 167 66.4 58
26 45 161.3 64.2 41
27 45 161.1 73 46
28 45 163.6 57 43
29 46 174.5 56 44
30 47 167.1 64.8 47
31 47 167.6 62 45
32 47 172.8 58.6 48
33 48 165.6 69.8 43
34 48 170.7 83.6 49
35 49 166 69.2 52
36 49 162.7 65.7 53
37 49 167.2 69.6 49
38 49 158.5 57.8 50
39 49 171.9 84.6 62
40 49 153.7 60.4 40
41 49 160.5 59.4 40
42 50 177.1 58.1 50
43 50 168.9 79.4 43
44 50 168.8 75.8 56
45 50 166.5 72.4 46
46 50 162.6 54.2 51
47 50 181 73.8 60
48 50 173.2 64.6 44
49 50 161.3 49.2 43
50 50 168.4 99 49
51 50 165 55 42
52 50 173.1 53.2 46
53 50 165.8 76.4 41
54 50 165.8 70.6 56
55 50 163.6 71 51
56 50 169 63.2 38
57 50 168.4 73 42
58 50 165.4 69.4 44
59 50 163.9 59 45
60 50 171.5 60.4 48
61 50 156.3 66.8 45
62 50 166.2 85.8 37
63 50 172.5 86.6 56
64 50 170.4 76.4 62
65 51 171.8 77.4 53
66 51 169.4 87.8 42
67 51 166 65.4 52
68 52 165.2 58.9 44
69 52 165.3 51.4 45
70 52 166.9 85.6 40
71 52 161.4 63 58
72 52 158.2 63.8 40
73 52 166.6 71 52
74 52 165.1 63.8 41
75 53 169 64.3 50
76 53 156.9 71 45
77 54 160.8 59.1 52
78 55 172.5 75.6 46
79 55 165.7 59.8 39
80 55 169.1 63.3 39
81 55 159.6 63 49
82 55 160.1 63.2 41
83 55 164.3 60.2 38
84 55 165 61 53
85 55 162.4 67.2 40
86 56 160 54 40
87 56 167 65.6 52
88 56 166.7 72 45
89 56 163.9 73 51
90 56 164.4 62.2 51
91 56 166.4 68.2 49
92 56 161 48.2 38
93 56 158.7 67.4 37
94 57 170.5 86.5 51
95 57 162.5 53 49
96 57 166.5 72 49
97 57 163.6 51 38
98 57 164.5 65.4 45
99 57 168.6 66.8 57
100 57 165.1 64.8 45
101 58 157.1 48.4 46
102 58 164.2 69.3 46
103 59 161 63 42
104 59 155.5 55.8 33
105 59 173.3 66.6 39
106 59 156 46.6 32
107 59 166 68.6 35
108 59 153.9 59.6 37
109 60 155 58.2 47
110 60 163.9 50.4 42
111 60 167.9 66.2 47
112 60 163.4 66.2 47
113 60 161.1 65.2 38
114 60 163 73 53
115 60 162.8 76.8 32
116 60 168.1 65.6 39
117 60 170.8 61.4 40
118 60 162.1 67 45
119 60 163.9 67 43
120 60 160.5 70.8 49
121 60 161.6 60.2 42
122 60 161.8 63 34
123 60 161.8 59.2 42
124 60 157.2 56 40
125 60 167.1 56.2 35
126 60 161.9 67 36
127 60 178.2 73.2 34
128 60 161.1 63 47
129 61 170.9 77.6 43
130 61 157.6 73.6 48
131 61 156.8 46.1 44
132 61 162 72.8 35
133 61 169.7 69 38
134 61 160.4 67.8 44
135 62 156.4 58.1 37
136 62 165 64.8 47
137 62 170.3 74.2 52
138 62 163.8 58.9 42
139 62 165 79.6 50
140 62 160.5 68.6 59
141 62 171.2 69 42
142 62 162.9 70.2 37
143 63 161.8 65.3 40
144 63 165.2 66.6 38
145 63 163.9 76.6 49
146 63 150.8 55 34
147 63 162.1 58.4 39
148 63 165.4 70 33
149 63 160.7 55.4 37
150 64 156.8 66.8 45
151 64 168.8 69.8 41
152 64 178.1 80.2 56
153 64 160.2 54 37
154 64 169.2 72.6 41
155 64 152.3 60.2 35
156 64 167.2 60 38
157 64 162.4 67.6 38
158 65 165.1 52.9 39
159 65 167.1 66.8 35
160 65 154.7 46 32
161 65 169.6 78.3 42
162 65 155.8 48.8 37
163 65 164.9 57.1 40
164 65 172 69.4 45
165 65 160.4 68.2 50
166 65 162.1 64.2 42
167 65 153.8 55 39
168 65 179.4 59 49
169 65 162.6 56 44
170 65 161 51.6 30
171 65 168.4 58.2 40
172 65 169.6 68 46
173 65 158.8 61.4 42
174 65 158.4 49 34
175 65 155.5 56.4 34
176 65 161.2 74.4 41
177 66 167 54.6 36
178 66 167.3 67.5 48
179 66 163.2 59.2 40
180 66 154.3 53.6 39
181 66 171 54.6 34
182 66 162.8 65 42
183 66 170.9 77.6 49
184 66 166.2 54.2 34
